102676-47-1	ACE;ACE2;AGTR1;AGTR2;CYP11A;CYP11B;CYP11B1;CYP11B2;CYP17A1;CYP19A1;CYP19A1A;CYP19A1B;CYP2A6;CYP51A1;ESR1;FSHR;GNRH3;KISS1;KISS1R;LHB;LHR;STAR;TFF1;VTG1
102694-32-6	TOP2A
102731-57-7	PTGS2
102771-26-6	CREB1;HSPA1A
102805-45-8	PCNA;PRL;TGFB1;VEGFA;VIP
102812-95-3	ABCC2;CYP2C22;CYP3A23-3A1;GSTA2;GSTA4;GSTM2;NR0B2;NR1I2;UGT2B17
102850-29-3	OCRL
102989-24-2	CASP3;MYC;ND1;ODC1
102993-22-6	ADRA1A;KCNH2
103-02-6	ALOX12;ALOX5
103-11-7	ATF3;CXCL8;DIO1;DIO2;DIO3;DNAJB4;GCLM;PPARG
103-12-8	CA2;CA3
103-23-1	GRN;HSD11B1;NOLC1
103-29-7	NR1I3
103-33-3	NR1I3
103-36-6	ESR1;ESR2
103-65-1	CYP1A1;CYP2B1;CYP2B2;CYP2C11;GRIN1;GRIN2A;GRIN2B
103-71-9	KRT1;KRT14;KRT16;KRT5;KRT6B;KRT9
103-82-2	ABCC4;PON1;PON2;PON3;SLC22A7
103-85-5	ACHE;AHR2;CA1;CA2;CASP9;CYP1A;FMO3;FOS;MAPK1;MAPK3;MITF;PPARA;RBP4;RELA;SLC5A5;TAS2R38;TG;TPO;TSHBA;TYR
103-90-2	PPARA;PANX1;TNF;GPT;CYP2E1;HMOX1;MAP3K5;NFE2L2;IL1B;NOS2;GCLC;IL6;CAT;CYP1A2;CTH;NQO1;CCL2;CASP3;MAPK8;IFNG;CXCL1;IL10;TNFRSF1A;PTGS2;EGR1
103-95-7	ATF3;CXCL8;ICAM1
103055-07-8	CHS1;KKV
10309-37-2	MYOD1;TNFSF10;MYOG;PARP1;CYP19A1;CDON;CASP3;ESR2;PCNA
10309-95-2	GH1;ESR1;CCNB1;GHR1;CCND1;PCNA
10312-83-1	ALDH1A1;ALDH2;ALDH3A1;BCL2;CASP3;ODC1
1032-65-1	IDH2
10325-94-7	CAV1;CD14;CXCL8;DEFB1;DEFB2;DEFB3;DEFB4;G6PD;HSP22;IFNB1;IL18;IL1B;IL6;ITGB4;MAPK14;MAPK8;MYD88;NFKB1;RELA;SOCS1;STAT3;TLR4;TLR5;TNF
103373-69-9	NAT1;NAT2
1034-01-1	AKR1C1;AKR1C2;AKR1C3;AKR1C4;BAX;BCL2;CASP3;CAT;NEFH;UGT1A7
103412-42-6	BDKRB2;KNG1
103420-77-5	AMY2A3;CCKAR;FOS
103429-31-8	MAPK1;MAPK3;OPRD1;OPRM1
103433-42-7	KNG1
103434-30-6	ADRB1
10344-94-2	ABCC4
1035-77-4	CYP2C19;CYP3A4
103538-03-0	BAD;BID;CASP3;CASP8;CASP9;CYCS;FADD;FAS
10361-37-2	ACHE;ALB;CAT;IL1B;IL6;KCNE1;KCNJ2;KCNJ3;KCNJ6;KCNK3;KCNQ1;MT1;MT2A;SERPINE1;SOD2;STX1A;TNF;TSC22D3
10361-44-1	APOE
103613-84-9	OPRK1
103628-46-2	CALCA;HTR1D;HTR1B
103680-47-3	GABBR1;GABBR2
103745-39-7	ROCK1;ROCK2;RHO;BGLAP;RUNX2;TNF;RELA
103766-25-2	CD44;DPYD
10377-48-7	NEFH
103775-10-6	SLC15A1;SLC15A2
103782-08-7	CHIT1
103818-46-8	COMT;CYP2D6;CYP3A4
103827-15-2	GUSB;HRH1;IL6
103827-16-3	CAMK1;CREB1;HRH1
103833-18-7	PARA-LIKE
10385-78-1	ABCB1A;CYP2B1;CYP2B6;GABRA1;GABRB2;GABRG2;HSTRPA;UGT2B15;UGT2B7
103878-84-8	MAOB
103882-84-4	CASP3;SFN;SLC29A1;EGFR;BCL2;CASP9;CASP8;RELA;PARP1;CDKN1A;EGF;TGFB1;CNR2;YAP1;CNR1;TP53;PLK1;DNMT1;SRC;BCL2L1;RRM1;AREG;CCND1;CDA;BAX
103909-75-7	ACP5;CDKN1A;CDKN1B;CYP24A1;PTH;RB1;VDR
10396-80-2	AHR;AR;ESR1;NR3C1;PGR;THRB
104-03-0	CES1;CES2
104-14-3	ADRB1;ADRB2;ADRB3;HISCL1;OAR1;OCTBETA2R;SLC18A2;SLC6A2;SLC6A3;SLC6A4;TAAR1;TYRR
104-40-5	ESR1;NR1I3;ESR2;CASP3;BAX;MAPK1;MTOR;PRL;MAPK3;NR1I2;BECN1;TTR;GH1;LHB;ADAM17;BCL2;EIF4EBP1;CYP1A1;HBEGF;RPS6KB1;AHR;CYP19A1;AKT1;AR;TP53
104-46-1	AHR;AKT1;CYP1A1;ESR1;GGT1;GSTA2;IKBKB;IL2;LDLR;MAP2K1;MAPK1;MAPK3;MAPK8;MMP2;MMP9;NFKB1;NFKBIA;OAMB;PARP1;PLAU;RELA;TIMP1;TNF
104-51-8	ESR2
104-54-1	OAMB;HMOX1;CXCL8;GCLM
104-55-2	TRPA1;NFE2L2;TNF;HMOX1;CXCL8;RELA;IL1B;NQO1;ICAM1;GCLC;CD86;GCLM;PTGS2;GLRX;CASP3;MAPK8;GSR;TXNRD1;MAPK14;MAPK1;CAT;MAPK3;NOS2;BCL2;MPO
104-76-7	IL2;MSX2;MYH6;SNAI1;SNAI2;TRPA1;TWIST1
104-87-0	AHR;AR;ESR2;IL1B;IL6;MAPK1;MAPK3;NFKB1;NFKBIA;NOS2;PGR;PPARG;PTGS2;RELA;TNF
104-88-1	AKR1C13;DHRS11
104-98-3	FLG;IFNG;TNF
104007-80-9	ALOX5;MPO
10405-02-4	ABCB1;SLC22A1;SLC22A2;SLCO1A2;SLCO1B1;SLCO1B3
104076-16-6	MPO
104104-50-9	GABRA1;GABRB2;GABRG2
10418-03-8	AR;TERT
104196-68-1	GSK3B
10420-75-4	AHR;CYP1A1
10421-48-4	CASP3;PAM;PARP1
104380-10-1	ALAS1;CYB5A
104448-53-5	CYSLTR1
10447-39-9	KCNH2
10456-50-5	CCNB1;FSHB;LHR
10457-90-6	CRP;DRD2;KCNH2;NR1I2
104594-70-9	NR1H4;TNF;TYR;HMOX1;NGFR;RARA;CLDN2;RELA;CS;CAT;NOX4;CDKN1A;TP53;PACS2;CASP3;SMPD4;NFE2L2;DEGS2;MPO;ITPR1;CD14;SMPD3;IL1B;CERS4;VDAC1
104604-66-2	TSPO
104615-18-1	BMP6;BMPR1B;BMPR2;FURIN;HAMP;HJV;TFR2
10463-84-0	AKT1;BAX;BCL2;CASP3;DUSP1;GSK3B;MAPK1;MAPK14;MAPK3;PARP1;PDE5A;PDGFA;PDGFB;RELA
10465-78-8	SOD2;RPS6KB1;GCLC;MTOR;TNF
